Run	Sample Characteristic[block]	Sample Characteristic Ontology Term[block]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[individual]	Sample Characteristic Ontology Term[individual]	Sample Characteristic[karyotype]	Sample Characteristic Ontology Term[karyotype]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[sampling site]	Sample Characteristic Ontology Term[sampling site]	Factor Value[developmental stage]	Factor Value Ontology Term[developmental stage]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Analysed
ERR1473013	sequencing batch:FC2014_044		10 post conception weeks		11880		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			10 post conception weeks		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1473014	sequencing batch:FC2014_045		Carnegie Stage 18		11122		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Carnegie Stage 18		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1473015	sequencing batch:FC2014_045		Carnegie Stage 19		11238		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Carnegie Stage 19		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1473016	sequencing batch:FC2014_045		Carnegie Stage 19		11286		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Carnegie Stage 19		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1473017	sequencing batch:FC2014_045		Carnegie Stage 20		11237		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Carnegie Stage 20		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1473018	sequencing batch:FC2014_045		Carnegie Stage 20		11382		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Carnegie Stage 20		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1473019	sequencing batch:FC2014_045		Carnegie Stage 21		11254		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Carnegie Stage 21		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1473020	sequencing batch:FC2014_045		Carnegie Stage 21		11471		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Carnegie Stage 21		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1473021	sequencing batch:FC2014_045		19 post conception weeks		11875		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			19 post conception weeks		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1473022	sequencing batch:FC2014_045		Carnegie Stage 21		11304		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Carnegie Stage 21		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1473023	sequencing batch:FC2014_045		Carnegie Stage 21		11165		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Carnegie Stage 21		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1473024	sequencing batch:FC2014_048		Carnegie Stage 22		1707		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Carnegie Stage 22		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	No
